Date,Time,DateTime,Country,DC_Power,AC_Power,Ambient_Temperature,Module_Temperature,Irradiation,Day,Month,Hour,Daily_Yield,Total_Yield,Price,Demand,Demand_Energy
3/1/2024,18,2024-01-03 18:00:00,Australia,15.967,14.224,8.82,14.03,0.241,3,1,18,488.432,1498.0230000000001,213.17167,8533.5717,8531.16
3/1/2024,19,2024-01-03 19:00:00,Australia,9.31,8.107,8.88,13.34,0.097,3,1,19,496.539,1506.13,148.28083,8484.56,8493.52
3/1/2024,20,2024-01-03 20:00:00,Australia,0.0,0.0,8.63,14.2,0.0,3,1,20,496.539,1506.13,108.12333,8161.0367,8173.7
3/1/2024,21,2024-01-03 21:00:00,Australia,0.0,0.0,8.19,12.25,0.003,3,1,21,496.539,1506.13,93.089167,7746.1842,7770.75
3/1/2024,22,2024-01-03 22:00:00,Australia,0.0,0.0,7.57,14.47,0.0,3,1,22,496.539,1506.13,79.2375,7124.7533,7145.66
3/1/2024,23,2024-01-03 23:00:00,Australia,0.0,0.0,7.36,13.43,0.0,3,1,23,496.539,1506.13,77.415,6714.4108,6730.69
4/1/2024,0,2024-01-04 00:00:00,Australia,0.0,0.0,8.43,11.04,0.014,4,1,0,0.0,1506.13,61.171667,6355.3017,6367.74
4/1/2024,1,2024-01-04 01:00:00,Australia,0.0,0.0,9.53,13.6,0.0,4,1,1,0.0,1506.13,58.971667,6146.9525,6156.03
4/1/2024,2,2024-01-04 02:00:00,Australia,0.0,0.0,9.6,15.28,0.0,4,1,2,0.0,1506.13,57.795833,5994.2017,5995.83
4/1/2024,3,2024-01-04 03:00:00,Australia,0.0,0.0,8.73,12.48,0.009,4,1,3,0.0,1506.13,60.099167,5916.115,5919.75
4/1/2024,4,2024-01-04 04:00:00,Australia,0.0,0.0,8.48,13.73,0.002,4,1,4,0.0,1506.13,61.240833,5926.3242,5927.37
4/1/2024,5,2024-01-04 05:00:00,Australia,10.86,10.253,7.74,14.44,0.173,4,1,5,10.253,1516.383,65.699167,5956.8342,5955.12
4/1/2024,6,2024-01-04 06:00:00,Australia,15.103,12.523,8.24,13.88,0.234,4,1,6,22.776,1528.906,31.281667,5883.345,5884.54
4/1/2024,7,2024-01-04 07:00:00,Australia,24.006,21.005,8.68,12.85,0.39,4,1,7,43.781,1549.911,21.975,5810.9742,5818.64
4/1/2024,8,2024-01-04 08:00:00,Australia,32.023,28.632,8.92,14.76,0.511,4,1,8,72.413,1578.5430000000001,39.233333,5986.32,5963.55
4/1/2024,9,2024-01-04 09:00:00,Australia,45.109,39.694,8.02,14.21,0.699,4,1,9,112.107,1618.237,29.583333,6174.1842,6182.92
4/1/2024,10,2024-01-04 10:00:00,Australia,55.493,50.244,8.18,15.86,0.849,4,1,10,162.351,1668.481,29.205833,5991.3542,5994.1
4/1/2024,11,2024-01-04 11:00:00,Australia,61.38,56.803,8.14,12.5,0.949,4,1,11,219.154,1725.284,22.108333,5967.155,5962.77
4/1/2024,12,2024-01-04 12:00:00,Australia,65.452,60.173,8.43,13.61,1.002,4,1,12,279.327,1785.457,44.488333,6315.0908,6301.12
4/1/2024,13,2024-01-04 13:00:00,Australia,65.524,52.953,9.01,13.14,0.973,4,1,13,332.28,1838.41,53.118333,6575.3025,6561.8
4/1/2024,14,2024-01-04 14:00:00,Australia,51.608,48.613,8.88,15.13,0.806,4,1,14,380.89300000000003,1887.0230000000001,45.305833,7058.7092,7034.02
4/1/2024,15,2024-01-04 15:00:00,Australia,43.924,38.426,8.62,13.93,0.671,4,1,15,419.319,1925.449,40.369167,7644.2992,7621.79
4/1/2024,16,2024-01-04 16:00:00,Australia,32.35,28.437,8.39,15.52,0.494,4,1,16,447.75600000000003,1953.886,65.0575,8398.3483,8367.06
4/1/2024,17,2024-01-04 17:00:00,Australia,23.824,21.432,7.3,13.29,0.369,4,1,17,469.188,1975.318,102.43083,8925.555,8906.38
4/1/2024,18,2024-01-04 18:00:00,Australia,16.408,14.103,8.73,11.72,0.246,4,1,18,483.291,1989.421,196.13,9060.0492,9059.37
4/1/2024,19,2024-01-04 19:00:00,Australia,9.8,8.679,8.23,14.01,0.139,4,1,19,491.97,1998.1000000000001,170.58417,8979.2433,8990.36
4/1/2024,20,2024-01-04 20:00:00,Australia,0.0,0.0,7.67,14.2,0.0,4,1,20,491.97,1998.1000000000001,165.9475,8626.4767,8643.66
4/1/2024,21,2024-01-04 21:00:00,Australia,0.0,0.0,7.72,13.6,0.016,4,1,21,491.97,1998.1000000000001,105.26833,8072.4342,8099.01
4/1/2024,22,2024-01-04 22:00:00,Australia,0.0,0.0,9.33,13.75,0.0,4,1,22,491.97,1998.1000000000001,80.4375,7434.0883,7461.24
4/1/2024,23,2024-01-04 23:00:00,Australia,0.0,0.0,8.62,13.53,0.036,4,1,23,491.97,1998.1000000000001,77.745,6935.2167,6955.25
5/1/2024,0,2024-01-05 00:00:00,Australia,0.0,0.0,8.58,13.83,0.0,5,1,0,0.0,1998.1000000000001,66.481667,6534.0142,6546.57
5/1/2024,1,2024-01-05 01:00:00,Australia,0.0,0.0,7.96,14.9,0.021,5,1,1,0.0,1998.1000000000001,63.959167,6300.09,6309.52
5/1/2024,2,2024-01-05 02:00:00,Australia,0.0,0.0,7.47,14.29,0.005,5,1,2,0.0,1998.1000000000001,57.620833,6122.76,6125.67
5/1/2024,3,2024-01-05 03:00:00,Australia,0.0,0.0,8.81,14.46,0.0,5,1,3,0.0,1998.1000000000001,60.625,6079.0133,6076.58
5/1/2024,4,2024-01-05 04:00:00,Australia,0.0,0.0,9.31,12.63,0.0,5,1,4,0.0,1998.1000000000001,66.533333,6121.1275,6122.38
5/1/2024,5,2024-01-05 05:00:00,Australia,9.842,9.419,7.94,14.07,0.158,5,1,5,9.419,2007.5190000000002,67.484167,6169.9408,6168.66
5/1/2024,6,2024-01-05 06:00:00,Australia,16.664,15.839,9.17,12.48,0.271,5,1,6,25.258000000000003,2023.3580000000002,20.978333,6140.5108,6140.74
5/1/2024,7,2024-01-05 07:00:00,Australia,24.677,22.089,8.42,13.08,0.4,5,1,7,47.347,2045.4470000000001,8.83,6114.8817,6115.54
5/1/2024,8,2024-01-05 08:00:00,Australia,34.131,30.637,8.52,14.47,0.518,5,1,8,77.98400000000001,2076.0840000000003,40.4675,6324.9575,6311.35
5/1/2024,9,2024-01-05 09:00:00,Australia,44.821,39.873,8.43,12.18,0.678,5,1,9,117.857,2115.9570000000003,30.274167,6462.38,6463.63
5/1/2024,10,2024-01-05 10:00:00,Australia,54.861,47.137,8.28,12.05,0.837,5,1,10,164.994,2163.0940000000005,27.109167,6476.4892,6475.9
5/1/2024,11,2024-01-05 11:00:00,Australia,63.304,52.17,7.51,13.86,0.958,5,1,11,217.164,2215.2640000000006,24.255833,6409.5542,6406.4
5/1/2024,12,2024-01-05 12:00:00,Australia,66.587,62.248,9.25,12.8,1.026,5,1,12,279.412,2277.5120000000006,14.458333,6362.8167,6368.27
5/1/2024,13,2024-01-05 13:00:00,Australia,64.348,55.817,8.27,12.85,0.979,5,1,13,335.229,2333.3290000000006,22.988333,6687.6567,6665.6
5/1/2024,14,2024-01-05 14:00:00,Australia,58.899,50.905,8.91,14.32,0.898,5,1,14,386.134,2384.234000000001,37.215833,7108.5858,7093.51
5/1/2024,15,2024-01-05 15:00:00,Australia,45.62,39.938,8.79,13.56,0.714,5,1,15,426.072,2424.172000000001,38.339167,7524.8033,7504.93
5/1/2024,16,2024-01-05 16:00:00,Australia,32.972,29.264,8.57,14.98,0.527,5,1,16,455.336,2453.436000000001,67.125,8051.9217,8024.38
5/1/2024,17,2024-01-05 17:00:00,Australia,24.353,22.472,9.16,14.19,0.36,5,1,17,477.808,2475.9080000000013,68.4475,8404.0367,8401.48
5/1/2024,18,2024-01-05 18:00:00,Australia,16.332,14.387,8.65,13.05,0.258,5,1,18,492.195,2490.2950000000014,119.46667,8484.6717,8481.42
5/1/2024,19,2024-01-05 19:00:00,Australia,9.872,8.853,8.79,13.68,0.186,5,1,19,501.048,2499.1480000000015,98.776667,8475.12,8482.13
5/1/2024,20,2024-01-05 20:00:00,Australia,0.0,0.0,9.47,12.91,0.021,5,1,20,501.048,2499.1480000000015,101.63833,8197.3117,8213.83
5/1/2024,21,2024-01-05 21:00:00,Australia,0.0,0.0,8.08,13.29,0.043,5,1,21,501.048,2499.1480000000015,83.264167,7741.465,7760.36
5/1/2024,22,2024-01-05 22:00:00,Australia,0.0,0.0,8.59,12.41,0.009,5,1,22,501.048,2499.1480000000015,77.984167,7271.8383,7290.63
5/1/2024,23,2024-01-05 23:00:00,Australia,0.0,0.0,9.11,13.65,0.001,5,1,23,501.048,2499.1480000000015,62.54,6838.0567,6857.62
6/1/2024,0,2024-01-06 00:00:00,Australia,0.0,0.0,8.95,13.47,0.0,6,1,0,0.0,2499.1480000000015,57.54,6452.335,6462.58
6/1/2024,1,2024-01-06 01:00:00,Australia,0.0,0.0,8.78,13.61,0.0,6,1,1,0.0,2499.1480000000015,54.700833,6221.7917,6229.42
6/1/2024,2,2024-01-06 02:00:00,Australia,0.0,0.0,8.41,13.41,0.01,6,1,2,0.0,2499.1480000000015,43.843333,6018.6342,6025.9
6/1/2024,3,2024-01-06 03:00:00,Australia,0.0,0.0,8.91,13.58,0.0,6,1,3,0.0,2499.1480000000015,46.264167,5969.2458,5970.96
6/1/2024,4,2024-01-06 04:00:00,Australia,0.0,0.0,8.96,13.99,0.0,6,1,4,0.0,2499.1480000000015,55.671667,5949.88,5951.72
6/1/2024,5,2024-01-06 05:00:00,Australia,9.8,8.455,8.69,12.72,0.154,6,1,5,8.455,2507.6030000000014,48.1775,5888.2525,5895.41
6/1/2024,6,2024-01-06 06:00:00,Australia,14.474,12.614,8.26,14.35,0.255,6,1,6,21.069000000000003,2520.2170000000015,-3.6116667,5629.8842,5639.86
6/1/2024,7,2024-01-06 07:00:00,Australia,24.57,23.286,7.73,14.21,0.369,6,1,7,44.355000000000004,2543.5030000000015,-17.345,5461.4508,5468.13
6/1/2024,8,2024-01-06 08:00:00,Australia,36.578,32.929,8.21,12.14,0.558,6,1,8,77.284,2576.4320000000016,-11.030833,5431.655,5423.21
6/1/2024,9,2024-01-06 09:00:00,Australia,41.823,38.77,8.89,14.4,0.668,6,1,9,116.054,2615.2020000000016,-6.025,5579.4533,5583.08
6/1/2024,10,2024-01-06 10:00:00,Australia,59.797,57.379,8.59,13.74,0.927,6,1,10,173.433,2672.5810000000015,-10.471667,5535.295,5529.87
6/1/2024,11,2024-01-06 11:00:00,Australia,61.978,57.853,8.8,12.93,0.963,6,1,11,231.286,2730.4340000000016,-4.98,5505.5325,5502.02
6/1/2024,12,2024-01-06 12:00:00,Australia,64.804,55.666,8.92,12.52,1.056,6,1,12,286.952,2786.1000000000017,6.7516667,5721.5908,5715.37
6/1/2024,13,2024-01-06 13:00:00,Australia,62.199,53.891,8.7,12.95,0.983,6,1,13,340.843,2839.991000000002,28.965,5855.5775,5857.77
6/1/2024,14,2024-01-06 14:00:00,Australia,59.588,50.822,8.35,13.06,0.926,6,1,14,391.665,2890.813000000002,12.035833,5936.5908,5924.84
6/1/2024,15,2024-01-06 15:00:00,Australia,45.681,38.431,8.08,14.07,0.7,6,1,15,430.096,2929.244000000002,40.5825,6286.39,6266.49
6/1/2024,16,2024-01-06 16:00:00,Australia,31.459,28.226,9.09,12.1,0.486,6,1,16,458.322,2957.470000000002,52.948333,6874.2108,6846.37
6/1/2024,17,2024-01-06 17:00:00,Australia,24.02,21.311,7.96,14.55,0.375,6,1,17,479.633,2978.781000000002,76.815833,7325.3708,7313.37
6/1/2024,18,2024-01-06 18:00:00,Australia,15.904,14.511,8.81,12.37,0.235,6,1,18,494.144,2993.292000000002,98.515833,7550.3142,7544.49
6/1/2024,19,2024-01-06 19:00:00,Australia,8.766,7.487,8.78,13.2,0.182,6,1,19,501.63100000000003,3000.7790000000023,93.931667,7626.5092,7628.09
6/1/2024,20,2024-01-06 20:00:00,Australia,0.0,0.0,8.58,13.82,0.027,6,1,20,501.63100000000003,3000.7790000000023,79.786667,7425.9767,7437.73
6/1/2024,21,2024-01-06 21:00:00,Australia,0.0,0.0,8.64,12.42,0.034,6,1,21,501.63100000000003,3000.7790000000023,78.8525,7085.88,7099.68
6/1/2024,22,2024-01-06 22:00:00,Australia,0.0,0.0,8.82,13.37,0.012,6,1,22,501.63100000000003,3000.7790000000023,82.0625,6744.4675,6757.89
6/1/2024,23,2024-01-06 23:00:00,Australia,0.0,0.0,8.48,13.76,0.0,6,1,23,501.63100000000003,3000.7790000000023,75.176667,6420.5325,6436.85
7/1/2024,0,2024-01-07 00:00:00,Australia,0.0,0.0,8.3,13.17,0.006,7,1,0,0.0,3000.7790000000023,62.286667,6114.8767,6125.53
7/1/2024,1,2024-01-07 01:00:00,Australia,0.0,0.0,8.9,14.86,0.002,7,1,1,0.0,3000.7790000000023,62.4225,5944.4183,5949.5
7/1/2024,2,2024-01-07 02:00:00,Australia,0.0,0.0,8.54,13.11,0.0,7,1,2,0.0,3000.7790000000023,61.803333,5824.5467,5827.56
7/1/2024,3,2024-01-07 03:00:00,Australia,0.0,0.0,8.21,12.79,0.012,7,1,3,0.0,3000.7790000000023,59.168333,5722.1867,5725.96
7/1/2024,4,2024-01-07 04:00:00,Australia,0.0,0.0,8.0,15.38,0.0,7,1,4,0.0,3000.7790000000023,55.838333,5703.3442,5706.52
7/1/2024,5,2024-01-07 05:00:00,Australia,9.268,8.673,8.22,14.58,0.159,7,1,5,8.673,3009.452000000002,51.190833,5600.3958,5607.03
7/1/2024,6,2024-01-07 06:00:00,Australia,15.623,13.539,7.2,12.73,0.22,7,1,6,22.212,3022.9910000000023,18.24,5343.2617,5357.08
7/1/2024,7,2024-01-07 07:00:00,Australia,24.501,22.183,7.99,15.34,0.349,7,1,7,44.394999999999996,3045.1740000000023,-18.333333,5021.5333,5034.18
7/1/2024,8,2024-01-07 08:00:00,Australia,33.21,31.098,8.13,15.1,0.506,7,1,8,75.493,3076.272000000002,-29.205833,4780.1492,4787.09
7/1/2024,9,2024-01-07 09:00:00,Australia,43.949,38.268,8.04,13.24,0.686,7,1,9,113.761,3114.5400000000022,-22.683333,4760.6475,4755.1
7/1/2024,10,2024-01-07 10:00:00,Australia,56.573,51.407,8.49,13.73,0.912,7,1,10,165.168,3165.9470000000024,-9.2583333,5008.145,4996.71
7/1/2024,11,2024-01-07 11:00:00,Australia,62.169,56.749,9.02,13.99,0.981,7,1,11,221.917,3222.696000000002,-14.821667,5063.8525,5061.22
7/1/2024,12,2024-01-07 12:00:00,Australia,64.578,53.819,8.73,13.11,1.0,7,1,12,275.736,3276.515000000002,0.8225,5240.665,5231.43
7/1/2024,13,2024-01-07 13:00:00,Australia,57.234,50.756,8.83,11.75,0.877,7,1,13,326.492,3327.271000000002,8.5166667,5420.7283,5411.19
7/1/2024,14,2024-01-07 14:00:00,Australia,57.077,47.859,8.97,11.72,0.9,7,1,14,374.351,3375.130000000002,28.679167,5854.4167,5825.96
7/1/2024,15,2024-01-07 15:00:00,Australia,45.254,40.516,7.97,13.36,0.68,7,1,15,414.867,3415.646000000002,44.833333,6533.1058,6512.65
7/1/2024,16,2024-01-07 16:00:00,Australia,33.557,29.719,8.97,12.44,0.57,7,1,16,444.586,3445.365000000002,68.87,7042.6925,7023.82
7/1/2024,17,2024-01-07 17:00:00,Australia,23.521,22.086,8.27,13.31,0.383,7,1,17,466.672,3467.451000000002,80.925833,7530.6117,7509.98
7/1/2024,18,2024-01-07 18:00:00,Australia,15.405,13.649,7.94,13.46,0.229,7,1,18,480.32099999999997,3481.1000000000017,116.49083,7861.195,7853.92
7/1/2024,19,2024-01-07 19:00:00,Australia,9.091,8.089,8.08,11.72,0.123,7,1,19,488.40999999999997,3489.1890000000017,105.8525,7863.2367,7870.04
7/1/2024,20,2024-01-07 20:00:00,Australia,0.0,0.0,8.41,13.57,0.038,7,1,20,488.40999999999997,3489.1890000000017,96.2375,7611.6308,7624.0
7/1/2024,21,2024-01-07 21:00:00,Australia,0.0,0.0,8.22,13.72,0.0,7,1,21,488.40999999999997,3489.1890000000017,90.106667,7217.735,7236.24
7/1/2024,22,2024-01-07 22:00:00,Australia,0.0,0.0,8.4,14.34,0.0,7,1,22,488.40999999999997,3489.1890000000017,90.8675,6830.4842,6845.67
7/1/2024,23,2024-01-07 23:00:00,Australia,0.0,0.0,8.71,12.27,0.0,7,1,23,488.40999999999997,3489.1890000000017,87.313333,6482.225,6494.51
8/1/2024,0,2024-01-08 00:00:00,Australia,0.0,0.0,8.09,11.36,0.0,8,1,0,0.0,3489.1890000000017,85.208333,6191.8542,6200.73
8/1/2024,1,2024-01-08 01:00:00,Australia,0.0,0.0,8.8,12.4,0.002,8,1,1,0.0,3489.1890000000017,85.278333,6014.015,6020.9
8/1/2024,2,2024-01-08 02:00:00,Australia,0.0,0.0,8.6,13.77,0.0,8,1,2,0.0,3489.1890000000017,72.878333,5902.6025,5907.94
8/1/2024,3,2024-01-08 03:00:00,Australia,0.0,0.0,8.29,13.07,0.0,8,1,3,0.0,3489.1890000000017,66.003333,5880.2167,5877.08
